"","x"
"482",1
"483",1
"484",1
"485",1
"486",1
"487",1
"488",1
"489",0
"490",1
"491",1
"492",1
"493",1
"494",1
"495",1
"496",1
"497",1
"498",1
"499",1
"500",1
"501",1
"502",0
"503",1
"504",1
"505",1
"506",1
"507",1
"508",1
"509",1
"510",1
"511",0
"512",0
"513",1
"514",1
"515",1
"516",1
"517",1
"518",1
"519",1
"520",1
"521",1
"522",1
"523",1
"524",1
"525",1
"526",1
"527",1
"528",1
"529",1
"530",1
"531",0
"532",1
"533",1
"534",1
"535",1
"536",0
"537",1
"538",1
"539",0
"540",0
"541",0
"542",1
"543",0
"544",1
"545",1
"546",1
"547",0
"548",1
"549",1
"550",0
"551",1
"552",1
"553",0
"554",1
"555",1
"556",1
"557",0
"558",1
"559",1
"560",0
"561",1
"562",1
"563",1
"564",1
"565",1
"566",1
"567",0
"568",1
"569",1
"570",1
"571",0
"572",0
"573",1
"574",1
"575",1
"576",1
"577",0
"578",0
"579",1
"580",0
"581",1
"582",1
"583",1
"584",1
"585",1
"586",0
"587",1
"588",0
"589",1
"590",1
"591",0
"592",1
"593",1
"594",1
"595",0
"596",0
"597",1
"598",0
"599",0
"600",1
"601",1
"602",1
"603",1
"604",1
"605",1
"606",1
"607",1
"608",1
"609",1
"610",1
"611",1
"612",1
"613",1
"614",1
"615",1
"616",1
"617",1
"618",0
"619",1
"620",0
"621",1
"622",1
"623",1
"624",1
"625",0
"626",0
"627",1
"628",0
"629",1
"630",1
"631",1
"632",1
"633",0
"634",1
"635",1
"636",1
"637",1
"638",1
"639",1
"640",1
"641",1
"642",1
"643",0
"644",1
"645",1
"646",0
"647",1
"648",1
"649",1
"650",0
"651",1
"652",1
"653",0
"654",1
"655",0
"656",1
"657",0
"658",0
"659",1
"660",1
"661",1
"662",1
"663",1
"664",1
"665",0
"666",1
"667",1
"668",1
"669",1
"670",1
"671",1
"672",1
"673",1
"674",1
"675",1
"676",1
"677",1
"678",1
"679",1
"680",0
"681",1
"682",1
"683",1
"684",1
"685",0
"686",1
"687",1
"688",1
"689",1
"690",0
"691",1
"692",1
"693",1
"694",1
"695",1
"696",1
"697",0
"698",1
"699",1
"700",1
"701",1
"702",1
"703",1
"704",0
"705",1
"706",1
"707",0
"708",0
"709",0
"710",1
"711",1
"712",0
"713",1
"714",0
"715",1
"716",1
"717",1
"718",1
"719",1
"720",0
"721",1
"722",1
"723",1
"724",1
"725",1
"726",1
"727",1
"728",1
"729",1
"730",1
"731",1
"732",1
"733",1
"734",1
"735",1
"736",0
"737",1
"738",1
"739",1
"740",1
"741",0
"742",1
"743",1
"744",1
"745",1
"746",1
"747",1
"748",1
"749",1
"750",1
"751",0
"752",0
"753",1
"754",1
"755",1
"756",0
"757",0
"758",1
"759",1
"760",1
"761",1
"762",1
"763",0
"764",0
"765",1
"766",0
"767",1
"768",0
"769",1
"770",1
"771",1
"772",1
"773",1
"774",1
"775",1
"776",1
"777",1
"778",0
"779",1
"780",1
"781",1
"782",1
"783",1
"784",1
"785",1
"786",0
"787",0
"788",0
"789",1
"790",1
"791",1
"792",1
"793",1
"794",1
"795",1
"796",0
"797",1
"798",1
"799",1
"800",1
"801",1
"802",1
"803",1
"804",1
"805",1
"806",1
"807",1
"808",1
"809",1
"810",1
"811",1
"812",1
"813",1
"814",1
"815",1
"816",1
"817",1
"818",0
"819",1
"820",1
"821",1
"822",1
"823",0
"824",1
"825",1
"826",1
"827",1
"828",1
"829",1
"830",0
"831",1
"832",1
"833",0
"834",1
"835",1
"836",1
"837",0
"838",1
"839",1
"840",1
"841",0
"842",1
"843",0
"844",0
"845",0
"846",1
"847",1
"848",1
"849",1
"850",1
"851",1
"852",1
"853",1
"854",1
"855",1
"856",1
"857",1
"858",1
"859",1
"860",1
"861",1
"862",0
"863",1
"864",0
"865",1
"866",1
"867",1
"868",1
"869",1
"870",1
"871",0
"872",1
"873",1
"874",1
"875",1
"876",1
"877",1
"878",1
"879",1
"880",0
"881",1
"882",1
"883",0
"884",1
"885",0
"886",1
"887",1
"888",1
"889",0
"890",1
"891",0
"892",1
"893",0
"894",1
"895",1
"896",1
"897",1
"898",1
"899",1
"900",1
"901",0
"902",1
"903",1
"904",0
"905",1
"906",0
"907",0
"908",1
"909",1
"910",1
"911",1
"912",1
"913",1
"914",1
"915",1
"916",1
"917",1
"918",1
"919",1
"920",0
"921",1
"922",1
"923",0
"924",0
"925",1
"926",1
"927",0
"928",1
"929",0
"930",1
"931",1
"932",1
"933",0
"934",1
"935",1
"936",1
"937",1
"938",1
"939",1
"940",1
"941",1
"942",1
"943",1
"944",1
"945",1
"946",0
"947",0
"948",1
"949",1
"950",1
"951",1
"952",1
"953",1
"954",1
"955",1
"956",1
"957",1
"958",1
"959",1
"960",1
"961",0
"962",0
"963",1
"964",1
"965",0
"966",1
"967",0
"968",1
"969",1
"970",1
"971",0
"972",1
"973",1
"974",1
"975",1
"976",1
"977",0
"978",1
"979",0
"980",1
"981",1
"982",1
"983",1
"984",1
"985",1
"986",1
"987",1
"988",1
"989",0
"990",1
"991",1
"992",0
"993",0
"994",1
"995",1
"996",1
"997",0
"998",0
"999",1
"1000",1
"1001",1
"1002",1
"1003",0
"1004",1
"1005",0
"1006",1
"1007",1
"1008",0
"1009",1
"1010",0
"1011",1
"1012",1
"1013",1
"1014",1
"1015",1
"1016",1
"1017",0
"1018",0
"1019",1
"1020",1
"1021",1
"1022",1
"1023",1
"1024",0
"1025",0
"1026",1
"1027",0
"1028",1
"1029",1
"1030",1
"1031",1
"1032",1
"1033",1
"1034",0
"1035",1
"1036",1
"1037",1
"1038",0
"1039",1
"1040",1
"1041",0
"1042",1
"1043",1
"1044",1
"1045",1
"1046",1
"1047",1
"1048",1
"1049",1
"1050",1
"1051",0
"1052",0
"1053",0
"1054",1
"1055",1
"1056",1
"1057",1
"1058",0
"1059",1
"1060",1
"1061",1
"1062",0
"1063",0
"1064",1
"1065",0
"1066",1
"1067",1
"1068",0
"1069",1
"1070",1
"1071",1
"1072",1
"1073",1
"1074",1
"1075",1
"1076",1
"1077",1
"1078",1
"1079",0
"1080",0
"1081",1
"1082",1
"1083",1
"1084",1
"1085",1
"1086",0
"1087",0
"1088",1
"1089",1
"1090",1
"1091",1
"1092",1
"1093",1
"1094",1
"1095",1
"1096",0
"1097",1
"1098",1
"1099",1
"1100",1
"1101",1
"1102",1
"1103",1
"1104",0
"1105",1
"1106",1
"1107",0
"1108",1
"1109",1
"1110",1
"1111",1
"1112",1
"1113",1
"1114",1
"1115",1
"1116",1
"1117",1
"1118",1
"1119",1
"1120",1
"1121",1
"1122",1
"1123",1
"1124",1
"1125",1
"1126",1
"1127",1
"1128",1
"1129",1
"1130",1
"1131",0
"1132",1
"1133",1
"1134",0
"1135",1
"1136",1
"1137",1
"1138",0
"1139",1
"1140",1
"1141",0
"1142",1
"1143",1
"1144",1
"1145",1
"1146",1
"1147",1
"1148",1
"1149",1
"1150",1
"1151",0
"1152",1
"1153",1
"1154",0
"1155",1
"1156",0
"1157",1
"1158",0
"1159",1
"1160",1
"1161",1
"1162",1
"1163",1
"1164",1
"1165",1
"1166",1
"1167",1
"1168",0
"1169",1
"1170",1
"1171",1
"1172",1
"1173",1
"1174",1
"1175",0
"1176",1
"1177",0
"1178",0
"1179",1
"1180",1
"1181",1
"1182",0
"1183",0
"1184",1
"1185",1
"1186",1
"1187",1
"1188",1
"1189",0
"1190",1
"1191",1
"1192",1
"1193",0
"1194",1
"1195",1
"1196",0
"1197",1
"1198",1
"1199",1
"1200",1
"1201",1
"1202",1
"1203",0
"1204",0
"1205",1
"1206",1
"1207",1
"1208",0
"1209",1
"1210",1
"1211",1
"1212",1
"1213",1
"1214",0
"1215",1
"1216",0
"1217",1
"1218",1
"1219",1
"1220",1
"1221",1
"1222",1
"1223",1
"1224",1
"1225",1
"1226",0
"1227",1
"1228",0
"1229",1
"1230",1
"1231",1
"1232",1
"1233",1
"1234",1
"1235",1
"1236",1
"1237",0
"1238",1
"1239",1
"1240",1
"1241",0
"1242",1
"1243",1
"1244",1
"1245",1
"1246",0
"1247",0
"1248",1
"1249",0
"1250",1
"1251",1
"1252",1
"1253",1
"1254",1
"1255",1
"1256",1
"1257",1
"1258",1
"1259",1
"1260",1
"1261",1
"1262",0
"1263",1
"1264",1
"1265",1
"1266",1
"1267",1
"1268",1
"1269",1
"1270",1
"1271",1
"1272",1
"1273",1
"1274",1
"1275",1
"1276",1
"1277",0
"1278",1
"1279",1
"1280",1
"1281",1
"1282",0
"1283",0
"1284",1
"1285",1
"1286",1
"1287",1
"1288",1
"1289",1
"1290",0
"1291",1
"1292",1
"1293",1
"1294",0
"1295",1
"1296",1
"1297",1
"1298",1
"1299",0
"1300",1
"1301",1
"1302",1
"1303",1
"1304",1
"1305",1
"1306",1
"1307",1
"1308",0
"1309",1
"1310",1
"1311",1
"1312",1
"1313",1
"1314",1
"1315",1
"1316",1
"1317",1
"1318",0
"1319",1
"1320",0
"1321",1
"1322",0
"1323",1
"1324",0
"1325",0
"1326",1
"1327",1
"1328",1
"1329",1
"1330",0
"1331",1
"1332",1
"1333",0
"1334",1
"1335",1
"1336",1
"1337",1
"1338",0
"1339",1
"1340",0
"1341",1
"1342",1
"1343",0
"1344",1
"1345",1
"1346",1
"1347",1
"1348",0
"1349",1
"1350",1
"1351",1
"1352",0
"1353",1
"1354",1
"1355",1
"1356",1
"1357",1
"1358",1
"1359",1
"1360",0
"1361",0
"1362",1
"1363",1
"1364",1
"1365",1
"1366",1
"1367",0
"1368",1
"1369",1
"1370",1
"1371",0
"1372",1
"1373",1
"1374",0
"1375",1
"1376",1
"1377",1
"1378",1
"1379",0
"1380",1
"1381",1
"1382",1
"1383",1
"1384",1
"1385",0
"1386",1
"1387",1
"1388",1
"1389",1
"1390",1
"1391",0
"1392",1
"1393",1
"1394",0
"1395",1
"1396",0
"1397",0
"1398",1
"1399",0
"1400",0
"1401",1
"1402",0
"1403",1
"1404",1
"1405",1
"1406",0
"1407",1
"1408",1
"1409",1
"1410",1
"1411",1
"1412",1
"1413",0
"1414",1
"1415",1
"1416",1
"1417",1
"1418",1
"1419",1
"1420",1
"1421",0
"1422",0
"1423",1
"1424",1
"1425",1
"1426",1
"1427",1
"1428",1
"1429",0
"1430",1
"1431",1
"1432",1
"1433",1
"1434",1
"1435",1
"1436",1
"1437",1
"1438",1
"1439",0
"1440",1
"1441",0
"1442",0
"1443",1
"1444",1
"1445",0
"1446",1
"1447",1
"1448",1
"1449",1
"1450",0
"1451",1
"1452",1
"1453",1
"1454",1
"1455",0
"1456",1
"1457",1
"1458",1
"1459",1
"1460",1
"1461",1
"1462",1
"1463",1
"1464",0
"1465",1
"1466",1
"1467",0
"1468",1
"1469",0
"1470",1
"1471",0
"1472",1
"1473",0
"1474",1
"1475",1
"1476",1
"1477",1
"1478",1
"1479",1
"1480",1
"1481",1
"1482",1
"1483",1
"1484",1
"1485",1
"1486",1
"1487",1
"1488",1
"1489",1
"1490",0
"1491",1
"1492",1
"1493",1
"1494",1
"1495",1
"1496",0
"1497",1
"1498",1
"1499",0
"1500",0
"1501",0
"1502",1
"1503",1
"1504",1
"1505",1
"1506",1
"1507",0
"1508",1
"1509",1
"1510",1
"1511",1
"1512",0
"1513",0
"1514",1
"1515",1
"1516",1
"1517",0
"1518",1
"1519",1
"1520",1
"1521",1
"1522",1
"1523",1
"1524",0
"1525",1
"1526",1
"1527",1
"1528",1
"1529",1
"1530",0
"1531",0
"1532",1
"1533",0
"1534",0
"1535",1
"1536",1
"1537",1
"1538",1
"1539",1
"1540",1
"1541",1
"1542",0
"1543",1
"1544",1
"1545",1
"1546",1
"1547",0
"1548",1
"1549",1
"1550",1
"1551",1
"1552",1
"1553",1
"1554",0
"1555",1
"1556",0
"1557",1
"1558",1
"1559",1
"1560",1
"1561",0
"1562",1
"1563",1
"1564",1
"1565",0
"1566",1
"1567",1
"1568",1
"1569",1
"1570",0
"1571",1
"1572",1
"1573",1
"1574",1
"1575",1
"1576",1
"1577",1
"1578",1
"1579",1
"1580",1
"1581",1
"1582",1
"1583",1
"1584",1
"1585",1
"1586",1
"1587",0
"1588",0
"1589",1
"1590",1
"1591",1
"1592",0
"1593",0
"1594",1
"1595",1
"1596",0
"1597",1
"1598",1
"1599",1
"1600",0
"1601",1
"1602",1
"1603",1
"1604",1
"1605",1
"1606",1
"1607",1
"1608",1
"1609",1
"1610",1
"1611",1
"1612",0
"1613",0
"1614",0
"1615",1
"1616",1
"1617",1
"1618",1
"1619",1
"1620",1
"1621",1
"1622",1
"1623",0
"1624",1
"1625",1
"1626",1
"1627",1
"1628",1
"1629",1
"1630",1
"1631",1
"1632",0
"1633",1
"1634",0
"1635",0
"1636",1
"1637",1
"1638",1
"1639",1
"1640",1
"1641",0
"1642",1
"1643",1
"1644",1
"1645",0
"1646",0
"1647",0
"1648",0
"1649",1
"1650",1
"1651",1
"1652",1
"1653",1
"1654",0
"1655",1
"1656",1
"1657",1
"1658",1
"1659",1
"1660",1
"1661",1
"1662",1
"1663",0
"1664",1
"1665",1
"1666",1
"1667",1
"1668",0
"1669",1
"1670",1
"1671",1
"1672",1
"1673",0
"1674",1
"1675",1
"1676",1
"1677",0
"1678",1
"1679",0
"1680",1
"1681",1
"1682",1
"1683",1
"1684",1
"1685",1
"1686",0
"1687",1
"1688",0
"1689",1
"1690",1
"1691",0
"1692",0
"1693",1
"1694",1
"1695",1
"1696",1
"1697",1
"1698",1
"1699",1
"1700",1
"1701",1
"1702",1
"1703",1
"1704",1
"1705",1
"1706",1
"1707",1
"1708",0
"1709",0
"1710",0
"1711",1
"1712",1
"1713",1
"1714",0
"1715",1
"1716",0
"1717",1
"1718",0
"1719",1
"1720",0
"1721",1
"1722",1
"1723",1
"1724",0
"1725",1
"1726",1
"1727",1
"1728",0
"1729",1
"1730",0
"1731",0
"1732",1
"1733",1
"1734",0
"1735",0
"1736",1
"1737",1
"1738",1
"1739",1
"1740",1
"1741",1
"1742",1
"1743",1
"1744",1
"1745",1
"1746",1
"1747",0
"1748",1
"1749",1
"1750",0
"1751",1
"1752",0
"1753",1
"1754",1
"1755",1
"1756",1
"1757",1
"1758",0
"1759",0
"1760",0
"1761",1
"1762",1
"1763",1
"1764",1
"1765",0
"1766",1
"1767",1
"1768",1
"1769",1
"1770",0
"1771",0
"1772",1
"1773",1
"1774",1
"1775",1
"1776",1
"1777",1
"1778",1
"1779",1
"1780",1
"1781",0
"1782",1
"1783",0
"1784",1
"1785",0
"1786",1
"1787",1
"1788",0
"1789",0
"1790",1
"1791",1
"1792",1
"1793",1
"1794",1
"1795",1
"1796",1
"1797",1
"1798",1
"1799",1
"1800",1
"1801",0
"1802",1
"1803",0
"1804",0
"1805",1
"1806",1
"1807",1
"1808",0
"1809",1
"1810",1
"1811",1
"1812",1
"1813",0
"1814",0
"1815",0
"1816",1
"1817",1
"1818",1
"1819",1
"1820",1
"1821",1
"1822",1
"1823",1
"1824",1
"1825",1
"1826",1
"1827",1
"1828",1
"1829",1
"1830",0
"1831",1
"1832",1
"1833",1
"1834",1
"1835",0
"1836",0
"1837",0
"1838",0
"1839",1
"1840",1
"1841",1
"1842",1
"1843",1
"1844",1
"1845",1
"1846",1
"1847",1
"1848",1
"1849",0
"1850",1
